Track_ID | 등번호 | 유니폼 | 첫등장프레임
3940 | 4 | HOME | frame_0966
3990 | 08 | HOME | frame_0976
4010 | 5 | AWAY | frame_0979
4034 | 4 | HOME | frame_0981
4036 | 2 | AWAY | frame_0982
4038 | 9 | HOME | frame_0982
4045 | 14 | HOME | frame_0982
4052 | 12 | AWAY | frame_0984
4053 | 24 | HOME | frame_0984
4060 | 7 | HOME | frame_0985
4072 | 9 | AWAY | frame_0987
4076 | 5 | HOME | frame_0988
4079 | 19 | HOME | frame_0988
4131 | 06 | AWAY | frame_0995
4136 | 9 | HOME | frame_0995
4139 | 4 | AWAY | frame_0996
4145 | 7 | AWAY | frame_0997
4196 | 23 | HOME | frame_1005
4211 | 70 | AWAY | frame_1007
4215 | 1 | AWAY | frame_1007
4218 | 27 | HOME | frame_1008
4222 | 8 | AWAY | frame_1008
4236 | 4 | AWAY | frame_1011
4254 | 5 | HOME | frame_1012
4275 | 19 | AWAY | frame_1015
4278 | 16 | AWAY | frame_1016
4296 | 17 | HOME | frame_1018
4307 | 08 | HOME | frame_1019
4309 | 7 | HOME | frame_1019
4311 | 3 | AWAY | frame_1019
4313 | 7 | HOME | frame_1019
4345 | 77 | AWAY | frame_1024
4352 | 9 | HOME | frame_1025
4353 | 11 | AWAY | frame_1025
4354 | 16 | AWAY | frame_1025
4368 | 8 | HOME | frame_1028
4416 | 2 | HOME | frame_1033
4417 | 9 | AWAY | frame_1033
4421 | 9 | AWAY | frame_1034
4480 | 23 | AWAY | frame_1043
4481 | 15 | AWAY | frame_1043
4503 | 9 | AWAY | frame_1046
4506 | 22 | HOME | frame_1047
4509 | 8 | AWAY | frame_1047
4513 | 13 | AWAY | frame_1048
4521 | 11 | HOME | frame_1049
4538 | 11 | HOME | frame_1052
4542 | 3 | AWAY | frame_1053
4546 | 5 | AWAY | frame_1053
4571 | 1 | HOME | frame_1058
4589 | 7 | HOME | frame_1062
4591 | 72 | AWAY | frame_1062
4593 | 17 | HOME | frame_1063
4599 | 71 | AWAY | frame_1066
4620 | 7 | HOME | frame_1072
4681 | 7 | HOME | frame_1087
4690 | 3 | AWAY | frame_1089
4722 | 9 | HOME | frame_1094
4728 | 14 | HOME | frame_1095
4738 | 1 | AWAY | frame_1096
4742 | 9 | AWAY | frame_1096
4806 | 11 | HOME | frame_1106
4829 | 47 | HOME | frame_1109
4832 | 16 | HOME | frame_1109
4866 | 9 | AWAY | frame_1113
4875 | 17 | HOME | frame_1114
4907 | 2 | HOME | frame_1117
4964 | 86 | HOME | frame_1127
4989 | 08 | AWAY | frame_1131
4998 | 9 | HOME | frame_1132
4999 | 11 | HOME | frame_1132
5005 | 47 | HOME | frame_1133
5018 | 10 | AWAY | frame_1135
5029 | 9 | HOME | frame_1136
5050 | 1 | HOME | frame_1138
5055 | 1 | AWAY | frame_1139
5056 | 9 | HOME | frame_1139
5070 | 3 | HOME | frame_1141
5073 | 9 | AWAY | frame_1141
5077 | 1 | AWAY | frame_1142
5130 | 3 | AWAY | frame_1153
5154 | 77 | AWAY | frame_1159
5170 | 1 | AWAY | frame_1162
5176 | 4 | HOME | frame_1163
5190 | 23 | AWAY | frame_1166
5199 | 5 | HOME | frame_1168
5229 | 26 | HOME | frame_1175
5238 | 23 | AWAY | frame_1176
5299 | 10 | AWAY | frame_1189
5304 | 1 | HOME | frame_1193
5346 | 99 | AWAY | frame_1202
5349 | 7 | HOME | frame_1202
5352 | 2 | AWAY | frame_1202
